time,ds0,ds1,ds2,ds3,ds4,ds5,ds6,ds7,ls0,ls1,ls2,ls3,ls4,ls5,ls6,ls7,ds_f0,ds_f1,ds_f2,ds_f3,ds_f4,ds_f5,ds_f6,ds_f7,ls_f0,ls_f1,ls_f2,ls_f3,ls_f4,ls_f5,ls_f6,ls_f7,phil,phir
1.152,0.189539552,0.214392155,0.243472661,0.207520562,0.215822037,0.221927261,0.208712625,0.216986883,0,0,0,2.506396313,1.648658433,1.761665285,2.354393181,0.624450129,0.204149432,0.212609236,0.259990851,0.212517619,0.211018927,0.209009074,0.212335185,0.222586118,0,0,0,2.521768901,1.655730328,1.726243037,2.379648942,0.682375587,3.145626068,2.496069624
1.184,0.215801117,0.23030925,0.26242027,0.210714136,0.197335226,0.215009237,0.194166986,0.196505066,0,0,0,2.475281879,1.683209861,1.750857453,2.411446746,0.595420241,0.209139202,0.219839521,0.258831406,0.213923817,0.209617079,0.212844988,0.210274674,0.218109247,0,0,0,2.509046146,1.658434578,1.736269336,2.395344877,0.654697163,3.106887034,2.498771091
1.216,0.204920457,0.206958235,0.233634536,0.211480947,0.223714553,0.213954177,0.228085558,0.214897697,0,0,0,2.494696389,1.655600268,1.773015399,2.395050749,0.55699476,0.208233654,0.217881655,0.253935841,0.210844638,0.21109638,0.212796383,0.212329112,0.217151266,0,0,0,2.509768598,1.653570787,1.745032426,2.390786633,0.623225343,3.083174193,2.497723239
1.248,0.21678294,0.202335631,0.232590124,0.20941871,0.214546244,0.211998728,0.20968991,0.205069631,0,0,0,2.478810599,1.641772347,1.749389435,2.450979764,0.533841112,0.207311432,0.215035253,0.247284309,0.210842834,0.211188225,0.215254139,0.212487537,0.210668775,0,0,0,2.497421843,1.651761522,1.752575164,2.399411566,0.594395342,3.064764348,2.501589549
1.28,0.205615026,0.210784679,0.239300192,0.203291366,0.207511692,0.222692351,0.208548096,0.222283102,0,0,0,2.48607733,1.646602512,1.799736921,2.421085063,0.508097103,0.206531818,0.21295599,0.242283556,0.208485144,0.21178595,0.217116351,0.209840635,0.211148476,0,0,0,2.488252502,1.655168684,1.766932899,2.406591101,0.563760669,3.041989304,2.501894538
1.312,0.201682704,0.19136679,0.251779814,0.203701282,0.201012592,0.198767657,0.216507559,0.223311744,0,0,0,2.452606654,1.641791954,1.780346117,2.455294348,0.489568296,0.208960449,0.208350917,0.243944987,0.207721288,0.208824061,0.21248443,0.211399622,0.212413448,0,0,0,2.47749457,1.653795388,1.770669065,2.426771334,0.536784302,3.015527949,2.5037025
1.344,0.206535082,0.212344599,0.265429349,0.208819732,0.21607389,0.220100865,0.21566304,0.225847339,0,0,0,2.481842685,1.61696341,1.826674121,2.451185128,0.468596924,0.207107242,0.204757987,0.244546803,0.207342407,0.212571794,0.213502755,0.215698833,0.218281903,0,0,0,2.478806731,1.640546098,1.785832399,2.43471901,0.511419639,2.995007607,2.492516509
1.376,0.213316543,0.200567319,0.239955576,0.189071523,0.212355356,0.211235631,0.208421525,0.219009515,0,0,0,2.459613735,1.668813543,1.804604304,2.412771647,0.447642162,0.208786459,0.203479804,0.245811011,0.202860523,0.210299955,0.212959046,0.211766026,0.219104266,0,0,0,2.4717902,1.643188753,1.79215018,2.43826319,0.489549119,2.971471846,2.496170661
1.408,0.198794521,0.197004393,0.249531751,0.203494802,0.207406476,0.220365231,0.20839953,0.209846003,0,0,0,2.469427834,1.647255079,1.80037017,2.446654163,0.425479514,0.205188775,0.202413556,0.249199337,0.201675741,0.208872001,0.214632347,0.21150795,0.220059541,0,0,0,2.469913647,1.6442853,1.802346327,2.43739807,0.4678768,2.951075132,2.493800162
1.44,0.205923411,0.206714328,0.257752607,0.209920702,0.212120174,0.196006079,0.219674144,0.216470039,0,0,0,2.442664469,1.63912468,1.833275838,2.353827963,0.40623449,0.205250452,0.201599486,0.25288982,0.203001608,0.209793698,0.209295093,0.21373316,0.218896928,0,0,0,2.461231075,1.642789733,1.80905411,2.42394665,0.447504277,2.927764519,2.49807482
1.472,0.213540373,0.21512416,0.273217069,0.208761465,0.191711185,0.21105307,0.207563014,0.237349845,0,0,0,2.451607652,1.653512606,1.800008529,2.396552291,0.385549899,0.207621986,0.20635096,0.257177271,0.204013645,0.207933416,0.211752175,0.211944251,0.221704548,0,0,0,2.461031275,1.645133864,1.812986592,2.412198239,0.426700598,2.895550381,2.494599026
1.504,0.203446219,0.23365571,0.296909431,0.213404065,0.213361717,0.222429513,0.193440565,0.213943494,0,0,0,2.401585335,1.662809708,1.823905068,2.316381999,0.364959256,0.207004213,0.210613182,0.263473287,0.204930512,0.207390982,0.212217905,0.207499756,0.219323779,0,0,0,2.444979805,1.654303123,1.812432782,2.385237613,0.405973064,2.864882382,2.50095856
