time,mode,state,x,y,theta,error
7.14,STRAIGHT,Straight,0.000,0.439,1.571,0.439
7.17,STRAIGHT,Straight,0.000,0.441,1.571,0.441
7.20,STRAIGHT,Straight,0.000,0.443,1.571,0.443
7.23,STRAIGHT,Straight,0.000,0.445,1.571,0.445
7.26,STRAIGHT,Straight,0.000,0.447,1.571,0.447
7.30,STRAIGHT,Straight,0.000,0.449,1.571,0.449
7.33,STRAIGHT,Straight,0.000,0.451,1.571,0.451
7.36,STRAIGHT,Straight,0.000,0.453,1.571,0.453
7.39,STRAIGHT,Straight,0.000,0.455,1.571,0.455
7.42,STRAIGHT,Straight,0.000,0.457,1.571,0.457
7.46,STRAIGHT,Straight,0.000,0.459,1.571,0.459
7.49,STRAIGHT,Straight,0.000,0.461,1.571,0.461
7.52,STRAIGHT,Straight,0.000,0.462,1.571,0.462
7.55,STRAIGHT,Straight,0.000,0.464,1.571,0.464
7.58,STRAIGHT,Straight,0.000,0.466,1.571,0.466
7.62,STRAIGHT,Straight,0.000,0.468,1.571,0.468
7.65,STRAIGHT,Straight,0.000,0.470,1.571,0.470
7.68,STRAIGHT,Straight,0.000,0.472,1.571,0.472
7.71,STRAIGHT,Straight,0.000,0.474,1.571,0.474
7.74,STRAIGHT,Straight,0.000,0.476,1.571,0.476
7.78,STRAIGHT,Straight,0.000,0.478,1.571,0.478
7.81,STRAIGHT,Straight,0.000,0.480,1.571,0.480
7.84,STRAIGHT,Straight,0.000,0.482,1.571,0.482
7.87,STRAIGHT,Straight,0.000,0.484,1.571,0.484
7.90,STRAIGHT,Straight,0.000,0.486,1.571,0.486
7.94,STRAIGHT,Straight,0.000,0.488,1.571,0.488
7.97,STRAIGHT,Straight,0.000,0.490,1.571,0.490
